M_over_Mext,tau_over_2M,M_msun,tau_echo_s,nu_echo_hz,band
0.88,12.235952476264439,1.4,0.00016875060320908428,5925.904743350674,above LIGO
0.88,12.235952476264439,10.0,0.0012053614514934592,829.6266640690943,LIGO/Virgo/KAGRA
0.88,12.235952476264439,30.0,0.0036160843544803777,276.5422213563648,LIGO/Virgo/KAGRA
0.88,12.235952476264439,60.0,0.007232168708960755,138.2711106781824,LIGO/Virgo/KAGRA
0.88,12.235952476264439,500.0,0.06026807257467296,16.592533281381886,LIGO/Virgo/KAGRA
0.88,12.235952476264439,4300000.0,518.3054241421875,0.0019293643350444054,LISA
0.88,12.235952476264439,6500000000.0,783484.9434707485,1.2763487139524527e-06,below LISA (PTA scales)
0.95,18.72282316861292,1.4,0.00025821346639007383,3872.764708906916,LIGO/Virgo/KAGRA
0.95,18.72282316861292,10.0,0.001844381902786242,542.1870592469681,LIGO/Virgo/KAGRA
0.95,18.72282316861292,30.0,0.005533145708358726,180.7290197489894,LIGO/Virgo/KAGRA
0.95,18.72282316861292,60.0,0.011066291416717451,90.3645098744947,LIGO/Virgo/KAGRA
0.95,18.72282316861292,500.0,0.09221909513931209,10.843741184939363,LIGO/Virgo/KAGRA
0.95,18.72282316861292,4300000.0,793.084218198084,0.0012609001377836468,LISA
0.95,18.72282316861292,6500000000.0,1198848.2368110572,8.34133937303028e-07,below LISA (PTA scales)
0.995,55.63539284225957,1.4,0.000767288539254929,1303.2906772868575,LIGO/Virgo/KAGRA
0.995,55.63539284225957,10.0,0.005480632423249493,182.46069482016006,LIGO/Virgo/KAGRA
0.995,55.63539284225957,30.0,0.016441897269748477,60.82023160672002,LIGO/Virgo/KAGRA
0.995,55.63539284225957,60.0,0.032883794539496955,30.41011580336001,LIGO/Virgo/KAGRA
0.995,55.63539284225957,500.0,0.27403162116247465,3.649213896403201,above LIGO
0.995,55.63539284225957,4300000.0,2356.671941997282,0.00042432719725618616,LISA
0.995,55.63539284225957,6500000000.0,3562411.0751121705,2.8070876126178467e-07,below LISA (PTA scales)
0.9999,379.31307855215294,1.4,0.0052312487266469206,191.15894736685004,LIGO/Virgo/KAGRA
0.9999,379.31307855215294,10.0,0.03736606233319229,26.762252631359004,LIGO/Virgo/KAGRA
0.9999,379.31307855215294,30.0,0.11209818699957687,8.92075087711967,above LIGO
0.9999,379.31307855215294,60.0,0.22419637399915374,4.460375438559835,above LIGO
0.9999,379.31307855215294,500.0,1.8683031166596145,0.5352450526271801,above LIGO
0.9999,379.31307855215294,4300000.0,16067.406803272685,6.223779681711397e-05,below LISA (PTA scales)
0.9999,379.31307855215294,6500000000.0,24287940.516574986,4.117269635593694e-08,below LISA (PTA scales)
