M_over_Mext,M_solar,tau_echo_s,A_unit,limit,R_max,excluded,verdict,dataset
0.88,10.0,0.0006661750634248526,0.0814,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.88,10.0,0.0006661750634248526,0.0814,0.28,1.0,False,FULLY OPEN: |R|<=1 passes,O4_projected
0.88,10.0,0.0006661750634248526,0.0814,0.15,1.0,False,FULLY OPEN: |R|<=1 passes,O5_projected
0.88,30.0,0.001998525190274558,0.0814,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.88,30.0,0.001998525190274558,0.0814,0.28,1.0,False,FULLY OPEN: |R|<=1 passes,O4_projected
0.88,30.0,0.001998525190274558,0.0814,0.15,1.0,False,FULLY OPEN: |R|<=1 passes,O5_projected
0.88,60.0,0.003997050380549116,0.0814,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.88,60.0,0.003997050380549116,0.0814,0.28,1.0,False,FULLY OPEN: |R|<=1 passes,O4_projected
0.88,60.0,0.003997050380549116,0.0814,0.15,1.0,False,FULLY OPEN: |R|<=1 passes,O5_projected
0.88,500.0,0.03330875317124263,0.0814,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.88,500.0,0.03330875317124263,0.0814,0.28,1.0,False,FULLY OPEN: |R|<=1 passes,O4_projected
0.88,500.0,0.03330875317124263,0.0814,0.15,1.0,False,FULLY OPEN: |R|<=1 passes,O5_projected
0.88,4300000.0,286.45527727268666,0.0814,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.88,4300000.0,286.45527727268666,0.0814,0.28,1.0,False,FULLY OPEN: |R|<=1 passes,O4_projected
0.88,4300000.0,286.45527727268666,0.0814,0.15,1.0,False,FULLY OPEN: |R|<=1 passes,O5_projected
0.95,10.0,0.0018444091066140407,0.2829,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.95,10.0,0.0018444091066140407,0.2829,0.28,0.989749027925062,True,EXCLUDED even at |R|=1,O4_projected
0.95,10.0,0.0018444091066140407,0.2829,0.15,0.5302226935312832,True,EXCLUDED even at |R|=1,O5_projected
0.95,30.0,0.005533227319842122,0.2829,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.95,30.0,0.005533227319842122,0.2829,0.28,0.989749027925062,True,EXCLUDED even at |R|=1,O4_projected
0.95,30.0,0.005533227319842122,0.2829,0.15,0.5302226935312832,True,EXCLUDED even at |R|=1,O5_projected
0.95,60.0,0.011066454639684245,0.2829,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.95,60.0,0.011066454639684245,0.2829,0.28,0.989749027925062,True,EXCLUDED even at |R|=1,O4_projected
0.95,60.0,0.011066454639684245,0.2829,0.15,0.5302226935312832,True,EXCLUDED even at |R|=1,O5_projected
0.95,500.0,0.09222045533070203,0.2829,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.95,500.0,0.09222045533070203,0.2829,0.28,0.989749027925062,True,EXCLUDED even at |R|=1,O4_projected
0.95,500.0,0.09222045533070203,0.2829,0.15,0.5302226935312832,True,EXCLUDED even at |R|=1,O5_projected
0.95,4300000.0,793.0959158440374,0.2829,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.95,4300000.0,793.0959158440374,0.2829,0.28,0.989749027925062,True,EXCLUDED even at |R|=1,O4_projected
0.95,4300000.0,793.0959158440374,0.2829,0.15,0.5302226935312832,True,EXCLUDED even at |R|=1,O5_projected
0.995,10.0,0.0054807105497137265,0.3212,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.995,10.0,0.0054807105497137265,0.3212,0.28,0.8717310087173102,True,EXCLUDED even at |R|=1,O4_projected
0.995,10.0,0.0054807105497137265,0.3212,0.15,0.4669987546699875,True,EXCLUDED even at |R|=1,O5_projected
0.995,30.0,0.01644213164914118,0.3212,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.995,30.0,0.01644213164914118,0.3212,0.28,0.8717310087173102,True,EXCLUDED even at |R|=1,O4_projected
0.995,30.0,0.01644213164914118,0.3212,0.15,0.4669987546699875,True,EXCLUDED even at |R|=1,O5_projected
0.995,60.0,0.03288426329828236,0.3212,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.995,60.0,0.03288426329828236,0.3212,0.28,0.8717310087173102,True,EXCLUDED even at |R|=1,O4_projected
0.995,60.0,0.03288426329828236,0.3212,0.15,0.4669987546699875,True,EXCLUDED even at |R|=1,O5_projected
0.995,500.0,0.2740355274856864,0.3212,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.995,500.0,0.2740355274856864,0.3212,0.28,0.8717310087173102,True,EXCLUDED even at |R|=1,O4_projected
0.995,500.0,0.2740355274856864,0.3212,0.15,0.4669987546699875,True,EXCLUDED even at |R|=1,O5_projected
0.995,4300000.0,2356.7055363769027,0.3212,0.42,1.0,False,FULLY OPEN: |R|<=1 passes,O3_current
0.995,4300000.0,2356.7055363769027,0.3212,0.28,0.8717310087173102,True,EXCLUDED even at |R|=1,O4_projected
0.995,4300000.0,2356.7055363769027,0.3212,0.15,0.4669987546699875,True,EXCLUDED even at |R|=1,O5_projected
